s#,date,islamic date,blast day type,holiday type,time,city,latitude,longitude,province,location,location category,location sensitivity,open/closed space,influencing event/event,target type,targeted sect if any,killed min,killed max,injured min,injured max,no. of suicide blasts,explosive weight (max),hospital names,temperature(c),temperature(f)
310,2011-04-07,3 Jumaada al-awal 1432 A.H,Working Day,,07:50:00,Quetta,30.2095,67.0182,Baluchistan,Gulistan road-also known as police lines,Residence,Medium,Open,,Police,None,,1.0,17.0,19.0,1.0,180.0,Civil hospital-CMH,20.76,69.368
311,2011-04-23,19 Jumaada al-awal 1432 A.H,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Salarzai area-65 km northeast of khar,Mobile,Low,Open,,Anti-Militants,Sunni,,5.0,5.0,8.0,1.0,,Agency headquarter hospital in Miranshah,26.34,79.412
312,2011-05-13,,Working Day,,06:00:00,Charsadda,34.1509,71.7359,KPK,FC headquarters in Shabqadar-30km from peshawar,Military,High,Open,FC personnel were gathered there,Military,None,82.0,95.0,128.0,140.0,2.0,20.0,LRH,29.285,84.713
313,2011-05-14,,Working Day,,11:00:00,D.G Khan,30.05,70.6333,KPK,MCB bank-Main bazar of Taunsa Sharif,Bank,Low,Open,,civilian,None,,3.0,,9.0,1.0,,,33.87,92.966
314,2011-05-25,,Working Day,,04:40:00,Peshawar,34.0043,71.5448,KPK,CID station,Police,High,Closed,,Police,None,8.0,11.0,41.0,48.0,1.0,300.0,Lady reading hospital-khyber teaching complex-hayatabad medical complex,33.975,93.155
315,2011-05-26,,Working Day,,18:00:00,Hangu,33.5351,71.0713,KPK,checkpoint close to Hangu police station and hangu DPO office,Police,High,Open,,Police,None,28.0,32.0,55.0,60.0,1.0,450.0,hungu district headquarter hospital,27.53,81.554
316,2011-05-28,,Working Day,,10:00:00,Bajaur Agency,34.8718,71.5249,FATA,Bajaur Agency's salarzai village-near Afghan border,Market,Low,Open,,Anti-Militants,Sunni,,8.0,,11.0,1.0,,khar agency headquarter hospital,30.06,86.108
317,2011-06-05,,Holiday,Weekend,20:45:00,Nowshehra,34.0322,73.0944,KPK,Army run Bakery on Mall road-Nowshehra cantt,Military,High,Closed,,Military,None,18.0,19.0,28.0,45.0,1.0,8.0,Lady reading hospital,32.48,90.464
318,2011-06-12,,Holiday,Weekend,23:45:00,Peshawar,34.0043,71.5448,KPK,Khyber super market-peshawar cantt,Market,Low,Open,,Civilian,None,32.0,35.0,80.0,107.0,1.0,10.0,Lady reading hospital,31.05,87.89
319,2011-06-13,,Working Day,,15:00:00,Islamabad,33.718,73.0718,Capital,silk bank in I-8 markaz,Bank,Low,Open,,Civilian,None,1.0,2.0,4.0,6.0,1.0,7.0,PIMS-Shifa International hospital,32.085,89.753
320,2011-06-25,,Working Day,,,D.I Khan,31.8238,70.9095,KPK,Kolache Town,Police,High,Closed,,Police,None,,10.0,3.0,5.0,1.0,,,32.925,91.265
321,2011-07-11,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Bazar in Central Battagram,Market,Low,Open,,Government Official,None,,7.0,25.0,26.0,1.0,,Battagram District Headquarters hospital,31.545,88.781
322,2011-07-21,,Working Day,,,South waziristan,32.3202,69.8597,FATA,South waziristan,Mobile,Low,Open,,Foreigner,,,,,2.0,1.0,,Jandola hospital,24.3,75.74
323,2011-07-24,,Holiday,Weekend,,South waziristan,32.3202,69.8597,FATA,Security Checkpost in chak Malai Area,Military,High,Open,,Military,,,1.0,,7.0,1.0,,,25.195,77.351
324,2011-08-06,,Working Day,,,Mohmand Agency,32.9746,70.1456,Fata,Danish Kol Bazaar Pandyali,Market,Low,Open,,Military,,,1.0,,0.0,1.0,,,24.745,76.541
325,2011-08-11,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Check post near lahori gate,Police,High,Open,,Police,,0.0,2.0,,12.0,1.0,,,30.1,86.18
326,2011-08-19,,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,Jamia Masjid Madina in Ghundi Area of Jamrud,Religious,Medium,Closed,,Civilian,,47.0,60.0,70.0,130.0,1.0,,Tehsil Headquarters hospital Jamrud-Hayatabad Medical complex-Khyber Teaching Hospital,30.6,87.08
327,2011-08-31,5 SHawwal 1432 A.H.,Holiday,Eid-ul-Fitar,,Quetta,30.2095,67.0182,Baluchistan,near the Eidgah in Marriabad Major Muhammad Ali Shaheed Road.,Religious,Medium,Open,,religious,Shiite,11.0,13.0,12.0,25.0,1.0,60.0,city hospitals,25.59,78.062
328,2011-09-01,6 SHawwal 1432 A.H.,Holiday,Eid-ul-Fitar,,Lakki marwat,32.6018,70.9148,KPK,near a police station in Darra Pezu Town,Police,High,Open,,Police,,3.0,2.0,14.0,25.0,1.0,300.0,,20.84,69.512
329,2011-09-07,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,FC DIG's residence at Anscumb road,Military,High,Closed,,Military,,26.0,28.0,60.0,82.0,2.0,100.0,Civil hospital-CMH,28.465,83.237
330,2011-09-15,,Working Day,,,Lower Dir,34.8453,71.9046,KPK,Jandola Town in Lower Dir-100 km from swat valley,Park/Ground,Low,Open,,Civilian,,26.0,34.0,63.0,75.0,1.0,,,27.235,81.023
331,2011-09-19,,Working Day,,07:30:00,karachi,24.9918,66.9911,Sindh,Street 32-off Saba Avenue-DHA Phase VIII-house of CID SSP,Police,High,Open,,Police,,,8.0,4.0,7.0,1.0,300.0,,29.195,84.551
332,2011-10-28,,Working Day,,,Nowshehra,34.0322,73.0944,KPK,Risalpur area of the Nowshera district,Police,,,,Police,,,2.0,,,1.0,,,17.535,63.563
333,2011-11-07,,Working Day,,,Swabi,34.1335,72.4702,KPK,Malikabad area of Swabi,Government Official,,,,Government Official,,,3.0,,9.0,,,,19.065,66.317
334,2011-11-16,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Sea view-clifton-at lover's point adjacent to village hotel,Mobile,low,Open,,Police,None,5.0,7.0,,1.0,1.0,,Jinnah Postgraduate Medical Center,25.305,77.549
335,2011-11-18,,Working Day,,03:38:00,Karachi,24.9918,66.9911,Sindh,Block 13-near Pehlwan Goth roundabout-Gulistan-e-Jauhar,Residence,low,Closed,,Military,None,,1.0,,,1.0,,Jinnah Postgraduate Medical Center,27.245,81.041
336,2011-12-24,,Working Day,,05:40:00,Bannu,32.935,70.6688,KPK,Tochi Scouts headquarters in Bannu,Military,High,Open,,Military,None,4.0,6.0,18.0,19.0,1.0,500.0,CMH Bannu,7.28,45.104
337,2012-01-03,,Working Day,,13:00:00,Gujrat,32.5737,74.0786,Punjab,Gorali village-4 km from Gujrat,Park/Ground,Low,Open,,Civilian,None,,2.0,,,1.0,,,10.935,51.683
338,2012-01-03,,Working Day,,14:00:00,Peshawar,34.0043,71.5448,KPK,trade center on arbab road in university town,Market,Low,Closed,,Civilian,None,,2.0,19.0,28.0,1.0,6.0,Khyber teaching Hospital,12.07,53.726
339,2012-01-03,,Working Day,,14:15:00,Khyber Agency,34.0211,71.2874,FATA,landikotal town,Market,Low,open,,Civilian,None,,3.0,7.0,9.0,1.0,,,11.285,52.313
340,2012-01-14,,Working Day,,14:00:00,D.I Khan,31.8238,70.9095,KPK,District police officer's office,Police,High,Open,,Police,None,4.0,8.0,7.0,10.0,3.0,,District Headquarters Hospital,6.71,44.078
341,2012-01-30,,Working Day,,16:00:00,Peshawar,34.0043,71.5448,KPK,Pakha Ghullam area,Residence,Low,Open,,Anti-Militants,None,3.0,4.0,7.0,8.0,1.0,3.0,Lady Reading Hospital,11.325,52.385
342,2012-02-17,,Working Day,,14:00:00,Kuram Agency,32.9746,70.1456,FATA,Parachinar Outside Shia Mousque,Market,Low,Open,,Civilian,Shiite,21.0,28.0,,36.0,1.0,,Agency Headquarter Hospital,0.04,32.072
343,2012-02-16,,Working Day,,,Upper Dir,35.1977,71.8749,FATA,Dir Town in Northwestren Districk of Upperdir near Afghan Boarder,Market,Low,Open,,Civilian,None,1.0,1.0,3.0,3.0,1.0,,,4.985,40.973
344,2012-02-24,,Working Day,,,Peshawar,34.0043,71.5448,KPK,C-Division Police Station (Kotwali police Stataion),Police,High,Closed,,Police,None,0.0,4.0,,6.0,3.0,,,9.905,49.829
345,2012-03-03,,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Shabqadar town 35KM northeast of Peshawar,Mobile,High,Open,,Government Official,None,0.0,1.0,,6.0,1.0,6.0,Lady Reading Hospital (LRH),16.955,62.519
346,2012-03-04,,Holiday,Weekend,,D.I Khan,31.8238,70.9095,KPK,Police patrol in main market area of D.I Khan KPK,Mobile,Low,Open,,Police,None,,0.0,,3.0,1.0,,District Headquarters Hospital,15.735,60.323
347,2012-03-11,,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Badaber Area 15Km from Peshawer,Park/Ground,Low,Open,,Government Official,None,14.0,15.0,30.0,33.0,1.0,6.0,Lady Reading Hospital (LRH),13.33,55.994
348,2012-03-15,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Pishtakhara Square-Close to Bara-Khayber Aagency,Police,Low,Open,,Police,None,1.0,1.0,2.0,5.0,1.0,6.0,Hayatabad Medical Hospital-Khyber Teaching Hospital,15.75,60.35
349,2012-03-23,,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,Akkakhel area of Bara in Khyber Agency,Religious,Low,Open,,Anti-Militants,None,5.0,13.0,9.0,10.0,1.0,,,19.65,67.37
350,2012-04-05,,Working Day,,19:56:00,Karachi,24.9918,66.9911,Sindh,Garision Area of Malir,Mobile,Low,Open,,Police,None,4.0,7.0,12.0,14.0,1.0,,,31.345,88.421
351,2012-05-04,,Working Day,,07:45:00,Bajaur Agency,34.8718,71.5249,FATA,security checkpoint in the middle of Khar Bazaar,Market,Low,Open,,Police,None,24.0,26.0,40.0,75.0,1.0,,Agency Headquarters Hospital (AHH)-Lady Reading Hospital (LRH)-,24.58,76.244
352,2012-06-12,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Bazidkhel Village-Badhaber Area,Mobile,Low,Open,,Anti-Militants,None,2.0,3.0,,5.0,1.0,8.0,Lady Reading Hospital (LRH),30.605,87.089
353,2012-06-28,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Hazar Ganji Area,Mobile,Low,Open,,Religious,Shiite,13.0,14.0,20.0,30.0,1.0,50.0,Civil hospital-Bolan Medical Complex-CMH,28.455,83.219
354,2012-07-16,,Working Day,,09:30:00,Bannu,32.935,70.6688,KPK,Old City Police Station,Police,High,Closed,,Police,None,2.0,7.0,2.0,8.0,1.0,,District Hospital Bannu,24.555,76.199
355,2012-09-03,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Abdara Road,foreign,Low,Open,,Foreigner,None,0.0,2.0,18.0,21.0,1.0,110.0,Khyber Teaching Hospital-American Club,29.015,84.227
356,2012-09-10,,Working Day,,14:40:00,Kuram Agency,32.9746,70.1456,FATA,Kashmir Chowk-Parachinar,Market,Low,Open,,Civilian,None,14.0,15.0,40.0,80.0,1.0,,,19.935,67.883
357,2012-10-13,,Holiday,Weekend,10:35:00,Dara Adam khel,33.6854,71.5131,KPK,Darra Bazar-Near Headquarters of Pro-Ggovernment Peac Body,Market,Medium,Open,,Anti-Militants,None,13.0,20.0,39.0,41.0,1.0,30.0,Lady Reading Hospital,23.495,74.291
358,2012-11-04,,Holiday,Weekend,14:30:00,Buner,34.3943,72.6151,KPK,Near District Headquarters Hospital in Daggar Area,Mobile,Low,Open,,Anti-Militants,None,5.0,6.0,7.0,10.0,1.0,,District Headquarters Hospital,19.195,66.551
359,2012-11-07,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Near Khan Razzaq Police Station-Qissa Khawani Bazaar,Mobile,High,Open,,Police,None,6.0,8.0,28.0,37.0,1.0,8.0,Lady Reading Hospital,19.825,67.685
360,2012-11-08,,Working Day,,06:55:00,Karachi,24.9918,66.9911,Sindh,Sachal Rangers' Headquarters-North Nazimabad Block B Area,Military,High,Open,,Military,None,0.0,3.0,18.0,23.0,1.0,150.0,Abbasi Shaheed Hospital-Sindh Rangers Hospital-PNS Shifa Hospital,25.995,78.791
361,2012-11-19,,Working Day,,,Mohmand Agency,32.9746,70.1456,FATA,Ghaiba Khwar Area of Haleemzai Tehsil,Mobile,Low,Open,,Government Official,None,0.0,0.0,3.0,4.0,1.0,,Ghallanai Headquarter Hospital,7.52,45.536
362,2012-11-21,,Working Day,,18:15:00,Karachi,24.9918,66.9911,Sindh,Orangi Town Sec-5E-Near Haider-e-Qarrar Imambargah,Religious,High,Open,Muharram Procession,Religious,Shiite,3.0,4.0,4.0,7.0,1.0,5.0,Qatar Hospital-Abbasi Shaheed Hospital,22.22,71.996
363,2012-11-21,,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Imambargah Qasar-e-Shabbir in Dhok Syedan-Misrial Road,Religious,High,Open,Muharram Procession,Religious,Shiite,12.0,20.0,25.0,40.0,1.0,,DHQ-Combined Military-Benazir Bhutto Hospital,16.795,62.231
364,2012-11-25,,Holiday,Ashura,,D.I Khan,31.8238,70.9095,KPK,Commissionary Bazaar-Choglia Area,Market,High,Open,Muharram Procession,religious,Shiite,5.0,6.0,70.0,80.0,1.0,12.0,District Headquarter Teaching Hospital-Combined Military Hospital,12.21,53.978
365,2012-11-29,,Working Day,,,South Waziristan,32.3202,69.8597,FATA,Rustam Bazaar,Mobile,Low,Open,,Anti-Militants,None,5.0,8.0,10.0,18.0,1.0,,Tehsil Headquarter Hospital Wana,3.895,39.011
366,2012-12-04,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Haved Police Station Bannu,Police,High,Open,,Police,None,,,6.0,10.0,1.0,800.0,DHQ Hospital Bannu,15.435,59.783
367,2012-12-05,,Working Day,,06:30:00,South waziristan,32.3202,69.8597,FATA,Zaree Noor Camp-Angoor Adda Rd,Military,High,Open,,Military,None,2.0,3.0,20.0,25.0,1.0,,First Treatment Hospital,7.1,44.78
368,2012-12-22,,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Dhaki Nalbandi Area-Qissa Khwani Bazar,Residence,High,Closed,,Government Official,None,,9.0,17.0,20.0,1.0,6.0,Lady Reading Hospital,15.065,59.117
369,2013-01-10,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Two suicide bombers blew themselves up at a crowded snooker club on Alamdar Road,Market,High,Closed,,Civilian,Shiite,51.0,93.0,116.0,121.0,2.0,,Civil Hospital and the Combined Military Hospital-Quetta,9.06,48.308
370,2013-02-01,,Working Day,,,Hangu,33.5351,71.0713,KPK,Masjid Faizullah and Masjid Purdil near Marketplace,Religious,High,Open,Possibley anti-taliban Sunni Council,Civilian,Sunni,24.0,27.0,40.0,50.0,1.0,,DHQ-Kohat,10.79,51.422
371,2013-02-14,,Working Day,,,Hangu,33.5351,71.0713,KPK,Security checkpost located in Tal area of Hangu,Military,High,Open,FC check post,Military,None,7.0,,8.0,23.0,1.0,,,12.12,53.816
372,2013-02-14,,Working Day,,,Bannu,32.935,70.6688,KPK,Maryan police station in Frontier Region Bannu,Police,High,Open,TTP avenged killing of their fighters in custody and bodies thrown in Miramshah,Police,None,0.0,0.0,1.0,,4.0,,,8.31,46.958
373,2013-02-16,,Working Day,Weekend,18:00:00,Quetta,30.2095,67.0182,Baluchistan,Kirani Road near Hazara Town,Market,Medium,Open,,Civilian,Shiite,64.0,84.0,180.0,200.0,1.0,1000.0,Civil Hospital and the Combined Military Hospital,5.49,41.882
374,2013-02-18,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Khyber Agency's Political Agent Office in Peshawar,Office Building,High,Closed,,Government Official,None,5.0,,7.0,,2.0,6.0,Lady Reading Hospital,15.55,59.99
375,2013-03-18,,Working Day,,12:10:00,Peshawar,34.0043,71.5448,KPK,Judicial Complex loacated on Khyber Road,Office Building,High,open,Court Proceeding,Government Official,None,2.0,4.0,22.0,47.0,2.0,6.0,Lady Reading Hospital,18.725,65.705
376,2013-03-23,,Holiday,Pakistan Day,,North waziristan,32.9746,70.1456,FATA,Security Checkpost near Miramshah,Military,High,Open,Tochi Scouts Check Post Building,Military,None,8.0,22.0,20.0,35.0,1.0,,,6.44,43.592
377,2013-03-29,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Near security check post Saddar Cantt area of Peshawar,Market,High,Open,FC convoy,Military,None,5.0,12.0,11.0,35.0,,,Lady Reading Hospital,21.525,70.745
378,2013-04-16,,Working Day,,,Peshawar,34.0043,71.5448,KPK,The bomb blast took place in Yakatoot in Kotwali Abid Khan,Market,High,Open,Election campain gathering of a Secular Party,Civilian,None,16.0,18.0,49.0,60.0,1.0,6.0,Lady Reading Hospital,22.805,73.049
379,2013-04-16,,Working Day,,17:30:00,North waziristan,32.9746,70.1456,FATA,Near Dirdhoni Check Post,Military,High,Open,Military Convoy,Military,None,7.0,9.0,8.0,18.0,1.0,,Military Hospital Miranshah,16.9,62.42
380,2013-04-20,,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Outside Headquarter Hospital,Office Building,High,Open,,Civilian,None,4.0,4.0,4.0,4.0,1.0,,Headquarter Hospital Bajour Agency,18.81,65.858
381,2013-04-23,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Paramilitary check post near the Shiite neighbourhood,Residence,High,Open,Secratian,Civilian,Shiite,6.0,6.0,37.0,40.0,1.0,,,17.65,63.77
382,2013-04-29,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Jehangir Abad neighbourhood on Arbab Road,Market,High,Open,,civilian,None,8.0,10.0,30.0,45.0,,6.0,Khyber Teaching Hospital,23.69,74.642
383,2013-05-01,,Holiday,Labour Day,,Shikarpur,28.0,68.6667,Sindh,Southern Shikarpur district of Sindh province-some 400 kilometres (250 miles) northeast of Karachi,Mobile,Low,Open,Parliamentary Candidate from National People's Party in Sindh,civilian,None,1.0,1.0,2.0,2.0,,,,30.715,87.287
384,2013-05-07,,Working Day,,,Hangu,33.5351,71.0713,KPK,Near Market in the town of Doaba,Market,High,Open,KP 43 Election Candidate Syed Janan of JUIF,Civilian,None,12.0,12.0,35.0,40.0,,,,25.335,77.603
385,2013-05-08,,Working Day,,05:30:00,Bannu,32.935,70.6688,KPK,Domail Police station Bannu,Police,High,Open,Bannu Police,Police,None,2.0,3.0,23.0,27.0,,,Government Hospital Bannu,20.715,69.287
386,2013-05-11,,Holiday,General Elections,,Karachi,24.9918,66.9911,Sindh,Manghopir,Military,Medium,Open,,Military,,2.0,2.0,3.0,5.0,,,,30.64,87.152
387,2013-05-12,,Holiday,Weekend,,Quetta,30.2095,67.0182,Baluchistan,Residence IG Police province of Balochistan,Police,High,Open,,Police,None,6.0,7.0,45.0,68.0,,,Civil Hospital,23.635,74.543
388,2013-05-24,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Outside Jamia Uloom al-Islamia Peshawar,Religious,High,Open,Afghan Religious Leader Haji Hidayatullah,religious,None,3.0,3.0,2.0,2.0,,6.0,,34.725,94.505
389,2013-06-03,,Working Day,,,North waziristan,32.9746,70.1456,FATA,Razmak town 20kms to the north of Miramshah,Military,High,Open,Security Checkpost,Military,None,,,2.0,2.0,,,,21.715,71.087
390,2013-06-15,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Parking of Sardar Bahadur Khan University-Quetta,Educational,Low,Open,,civilian,None,12.0,14.0,19.0,19.0,,,Bolan Medical Complex Quetta,29.55,85.19
391,2013-06-15,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Bolan Medical Complex,Hospital,Low,Closed,Security officials visiting victims of suicide attack on student bus of Sarda Bahdur Khan Women Univrsity,Police,None,11.0,11.0,,,,,Bolan Medical Complex Quetta,29.55,85.19
392,2013-06-18,,Working Day,,,Mardan,34.1982,72.0444,KPK,Zaragaranoo Kallay-Ittehad Colony Mardan,Park/Ground,Low,Open,Police officials argue that Imran Khan Mohmand-a provincial lawmaker seems to have been the target,civilian,None,27.0,34.0,52.0,60.0,,8.0,Tehsil Headquarters Takht Bhai-Mardan Medical Complex and Lady Reading Hospital in Peshawar,27.465,81.437
393,2013-06-21,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Gulshan Colony,Religious,High,Closed,Sectarian strife,Civilian,Shiite,14.0,15.0,28.0,30.0,,7.0,Lady Reading Hospital,35.0,95.0
394,2013-06-30,,Holiday,Weekend,,Quetta,30.2095,67.0182,Baluchistan,Hazara Town,Religious,High,Open,Sectarian strife,Civilian,Shiite,28.0,30.0,65.0,70.0,,,Bolan Medical Complex Quetta-CMH-Civil Hospital,30.915,87.647
395,2013-07-08,,Working Day,,,Hangu,33.5351,71.0713,KPK,Doaba Bazaar,Market,High,Open,Tribal elder Malik Habibullah Khan was the target,Civilian,,6.0,8.0,10.0,10.0,,,,30.72,87.296
396,2013-07-25,,Working Day,,,Sukkur,27.6833,68.8667,Sindh,Sukkur Barrage Colony,Police,Low,Open,Coordinated assault on ISI sukkur office building,Military,None,8.0,9.0,30.0,30.0,2.0,,,36.345,97.421
397,2013-07-26,,Working Day,,,Kuram Agency,32.9746,70.1456,KPK,Parachinar Bazaar,Market,High,Open,,Civilian,Shiite,43.0,50.0,180.0,200.0,2.0,,Parachinar Headquarters Hospital,26.015,78.827
398,2013-08-08,,Holiday,Eid Holidays,,Quetta,30.2095,67.0182,Baluchistan,Police Headquarters Quetta,Police,High,Open,Gathering on Funeral prayers of SHO City Mohibullah who was shot dead earlier in the day,Police,None,30.0,38.0,50.0,60.0,1.0,8.0,Civil Hospital and CMH Quetta,31.06,87.908
399,2013-09-22,,Holiday,,,Peshawar,34.0043,71.5448,KPK,All Saints Church near Qissa Khawani bazaar in  Peshawar,Religious,High,Open,Two suicide attackers blew themselves up outside a church near Qissa Khawani bazaar,Civilian,None,78.0,81.0,100.0,145.0,2.0,,Lady Reading Hospital,29.84,85.712
400,2013-10-02,,Working Day,,,Chaman,30.9222,66.4447,Baluchistan,southwestern border crossin between Afghanistan and Pakistan,Office Building,High,Open,,Government Official,None,6.0,8.0,10.0,16.0,1.0,,,24.42,75.956
401,2013-10-03,,Working Day,,,Hangu,33.5351,71.0713,KPK,Spin Tall region of Hangu,Residence,High,Open,A Compound of an anti-Taliban militia commander Mullah Nabi Hanafi was targetted by militants,Anti-Militants,None,15.0,17.0,22.0,22.0,1.0,,,25.96,78.728
402,2013-10-11,,Working Day,,,South waziristan,32.3202,69.8597,FATA,Wana-main town of South waziristan,Military,High,Open,Military Convoy,Military,None,2.0,2.0,2.0,2.0,,,,19.61,67.298
403,2013-10-16,,Holiday,Eid Holidays,,D. I Khan,31.8238,70.9095,KPK,Tehsil Kulachi-50km away from D.I Khan,Residence,High,Open,KP Law Minister Israrullah Gandapur was targeted and killed in the attack,Civilian,None,8.0,9.0,30.0,30.0,,,,28.61,83.498
404,2013-11-16,,Holiday,Weekend,,Bannu,32.935,70.6688,KPK,Near River Kurram bridge,Mobile,High,Open,Targeted van of security forces,Military,None,0.0,0.0,7.0,7.0,,,CMH Bannu,13.09,55.562
405,2013-11-19,,Working Day,,,North waziristan,32.9746,70.1456,FATA,Mir Ali town of Miramshah,Park/Ground,High,Open,It is said that Bannu TTP Militant commander Saifuddin was the target,Anti-Militants,None,7.0,7.0,1.0,1.0,,,,12.545,54.581
406,2013-11-22,,Working Day,,10:55:00,Khyber Agency,34.0211,71.2874,KPK,Torkhan customs office in Landikotal,Office Building,Medium,Closed,,Government Official,None,0.0,0.0,26.0,26.0,,5.0,Hayatabad Medical Complex-Peshawar,15.985,60.773
407,2013-12-17,,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Gracy line area near Airport,Religious,Medium,Open,Sectarian strife,Civilian,Shiite,3.0,3.0,14.0,,,,Benazir Bhutto Hospital and District Headquarters Hospital,14.39,57.902
408,2013-12-18,,Working Day,,,North waziristan,32.9746,70.1456,FATA,Kharoji checkpoint-about three kilometres east of Miranshah,Military,High,Open,Targeted security checkpoint as a revenge for killing Hakimullah Mahsud,Military,None,5.0,5.0,25.0,34.0,,,,8.19,46.742
409,2013-12-20,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Pakhtoon Chowk close to Old Sabzi Mandi-Karachi,Market,Medium,Open,Inspector Shafiq Tanoli was targeted,Police,None,2.0,2.0,20.0,21.0,,,Jinnah Hospital,18.735,65.723
410,2014-01-01,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Qambrani Road in Akhtarabad-on the outskirts of Quetta,Transport,High,Open,Sectarian strife,Civilian,Shiite,2.0,3.0,30.0,31.0,,,Bolan Medical Complex,1.605,34.889
411,2014-01-06,,Working Day,,,Hangu,33.5351,71.0713,KPK,Shia-dominated Ibrahimzai area of Hangu district,Educational,High,Open,Sectarian strife,Civilian,Shiite,2.0,2.0,2.0,2.0,,,,9.235,48.623
412,2014-01-09,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Near Essa Nagri at the Lyari Expressway,Mobile,Low,Open,Superintendent of Police (SP) Crime Investigation Department (CID) Chaudhry Aslam was the TTP target,Police,None,3.0,3.0,7.0,11.0,,25.0,Agha Khan University Hospital,15.395,59.711
413,2014-01-20,,Working Day,,07:45:00,Rawalpindi,33.6058,73.0437,Punjab,R.A Bazaar,Market,High,Open,TTP claimed this attack as ‘payback’ for a deadly military raid on the Lal Masjid (Red Mosque) in Rawalpindi in 2007.,Military,None,13.0,13.0,15.0,15.0,,,,11.455,52.619
414,2014-01-23,,,,,Peshawar,34.0043,71.5448,KPK,Kohat road,,,,,,,,6.0,,8.0,,,,11.11,51.998
415,2014-01-29,,Working Day,,,Karachi,24.9918,66.9911,Sindh,North Nazimabad Rangers headquarters,Military,High,Open,Rangers targeted by TTP,Military,None,3.0,3.0,0.0,1.0,,,Abbasi Shaheed Hospital,19.865,67.757
416,2014-02-04,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Kocha Risaldar area of Peshawar,Hotel,Medium,Closed,Sectarian strife,Civilian,None,9.0,9.0,25.0,50.0,,5.0,Lady Reading Hospital,10.82,51.476
417,2014-02-07,,Working Day,,,Khanewal,30.2999,71.9308,Punjab,,Mobile,Low,Open,Search operation of Security forces,Police,None,0.0,0.0,5.0,5.0,,,,13.335,56.003
418,2014-02-10,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Essa Khel Garhi area of Peshawar,Residence,Low,Open,Search operation of Security forces,Civilian,None,4.0,4.0,3.0,3.0,,6.0,Lady Reading Hospital,12.535,54.563
419,2014-02-13,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Razzaqabad police training college in Karachi's Shah Latif Town,Police,High,Open,TTP revenge,Police,None,11.0,13.0,36.0,47.0,,30.0,Jinnah Hospital,20.305,68.549
420,2014-02-24,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Iranian consulate in University Town,Mobile,High,Open,Sectarian strife,Military,None,2.0,3.0,8.0,10.0,,60.0,Lady Reading Hospital,16.13,61.034
421,2014-03-03,,Working Day,,,Islamabad,33.718,73.0718,Capital,District court in Islamabad sector F-8,Office Building,Medium,Open,Judge with Laal masjid case,Government Official,None,11.0,11.0,24.0,29.0,,,Pakistan Institute of Medical Sciences,10.81,51.458
422,2014-03-14,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Sarband Area on the outskirts of city,Police,High,Open,Police patrol,Police,None,8.0,11.0,32.0,45.0,,14.0,Lady Reading Hospital,17.68,63.824
423,2014-04-24,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Near old vegetable market,Market,High,Open,Police Inspector Ishfaq Tanoli was the target of the blast,Police,None,2.0,4.0,2.0,15.0,,,,30.56,87.008
424,2014-05-11,,Holiday,,12:40:00,Peshawar,34.0043,71.5448,KPK,Inside a mosque in Shahi Bagh area near Tirah IDPs registration center,Religious,High,Closed,IDPs of Tirah Valley,Civilian,None,4.0,5.0,9.0,11.0,,10.0,Lady Reading Hospital,25.31,77.558
